Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/11/2024,24998.00,24999.00,24900.00,24951.77,-0.13,109,2719743,2719743
06/11/2024,24900.00,25000.00,24900.00,24983.63,0.08,412,10293255,10293255
05/11/2024,24977.00,25000.00,24899.00,24962.50,0.32,763,19046384,19046384
04/11/2024,24897.00,24900.00,24600.00,24882.60,1.89,417,10376043,10376043
01/11/2024,24400.00,24900.00,24300.00,24419.95,1.50,1224,29890022,29890022
31/10/2024,24070.00,24070.00,24000.00,24058.49,0.39,314,7554365,7554365
30/10/2024,23969.00,23976.00,23950.00,23964.34,-0.01,962,23053698,23053698
29/10/2024,23960.00,23970.00,23960.00,23967.76,-0.01,380,9107747,15100247
28/10/2024,23960.00,23976.00,23960.00,23969.90,-0.03,1093,26199098,26199098
25/10/2024,23977.00,23979.00,23951.00,23977.61,0.01,852,20428924,20428924
24/10/2024,23978.00,23978.00,23950.00,23975.33,0.00,556,13330284,13330284
