Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
16.08.2024,"750,00","750,00","750,00","750,00","0,00",94,70.500,70.500
20.12.2023,"750,00","750,00","750,00","750,00","0,00",10,7.500,7.500
11.12.2023,"750,00","750,00","750,00","750,00","0,00",409,306.750,306.750
10.11.2023,"750,00","750,00","750,00","750,00","0,00",9,6.750,6.750
12.05.2023,"750,00","750,00","750,00","750,00","0,00",566,424.500,424.500
04.03.2019,"750,00","750,00","750,00","750,00","0,00",20,15.000,15.000
17.07.2018,"750,00","750,00","750,00","750,00","0,00",11,8.250,8.250
22.10.2015,"750,00","750,00","750,00","750,00","0,00",125,93.750,93.750
07.05.2015,"750,00","750,00","750,00","750,00","0,00",110,82.500,82.500
29.12.2014,"750,00","750,00","750,00","750,00","0,00",1.100,825.000,825.000
