Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07.08.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",41,49.200,49.200
06.12.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",9,10.800,10.800
10.11.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.800,22.800
12.06.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",12,14.400,14.400
10.04.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",14,16.800,16.800
23.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",35,42.000,42.000
18.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",7,8.400,8.400
03.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",102,122.400,122.400
07.11.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.800,22.800
16.09.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",22,26.400,26.400
11.08.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",55,66.000,66.000
16.01.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",65,78.000,78.000
