Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
12.09.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000,12.000
12.06.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.000,6.000
03.06.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",7,21.000,21.000
29.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
14.03.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.000,39.000
19.02.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000,12.000
26.12.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.000,45.000
01.03.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
09.01.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",11,33.000,33.000
05.09.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.000,6.000
14.06.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
09.06.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.000,39.000
24.02.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.000,6.000
24.12.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000,12.000
19.03.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000,12.000
25.02.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",6,18.000,18.000
04.12.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.000,6.000
21.11.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.000,48.000
21.11.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.000,48.000
22.05.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.000,6.000
15.02.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",8,24.000,24.000
20.06.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
11.01.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
22.12.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
11.05.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.000,9.000
06.07.2015,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.000,48.000
