Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.08.2022,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",128,576.000,576.000
22.03.2021,"4.500,00","4.500,00","4.500,00","4.500,00","200,00",16,72.000,72.000
05.08.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",80,120.000,120.000
09.03.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",116,174.000,174.000
25.02.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",3,4.500,4.500
05.02.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",190,285.000,285.000
27.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",13,19.500,19.500
17.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",62,93.000,93.000
13.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",4,6.000,6.000
10.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",182,273.000,273.000
02.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",150,225.000,225.000
25.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",224,336.000,336.000
22.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",449,673.500,673.500
06.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",73,109.500,109.500
05.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",183,274.500,274.500
31.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",194,291.000,291.000
29.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",55,82.500,82.500
25.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",484,726.000,726.000
10.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","141,94",224,336.000,336.000
01.10.2019,"620,00","620,00","620,00","620,00","0,00",161,99.820,99.820
03.11.2016,"620,00","620,00","620,00","620,00","0,00",50,31.000,31.000
06.04.2016,"620,00","620,00","620,00","620,00","0,00",129,79.980,79.980
