Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
28.06.2024,"1.200,00","1.200,00","1.200,00","1.200,00","-3,61",15,18.000,18.000
31.05.2024,"1.245,00","1.245,00","1.245,00","1.245,00","0,00",55,68.475,68.475
30.05.2024,"1.245,00","1.245,00","1.245,00","1.245,00","0,24",60,74.700,74.700
28.05.2024,"1.242,00","1.242,00","1.242,00","1.242,00","0,40",10,12.420,12.420
14.03.2024,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",7,8.659,8.659
06.02.2024,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",47,58.139,58.139
06.11.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",6,7.422,7.422
10.10.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",10,12.370,12.370
05.10.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",63,77.931,77.931
30.08.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",90,111.330,111.330
15.06.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,08",36,44.532,44.532
23.05.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",16,19.776,19.776
11.05.2023,"1.236,00","1.236,00","1.236,00","1.236,00","-1,12",50,61.800,61.800
02.05.2023,"1.250,00","1.250,00","1.250,00","1.250,00","-0,08",30,37.500,37.500
24.04.2023,"1.251,00","1.251,00","1.251,00","1.251,00","1,13",7,8.757,8.757
05.04.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,08",56,69.272,69.272
22.03.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",129,159.444,159.444
27.02.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",51,63.036,63.036
22.02.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",20,24.720,24.720
07.02.2023,"1.236,00","1.236,00","1.236,00","1.236,00","3,00",737,910.932,910.932
16.12.2022,"1.200,00","1.200,00","1.200,00","1.200,00","19,88",752,902.400,902.400
13.10.2022,"1.001,00","1.001,00","1.001,00","1.001,00","-16,58",30,30.030,30.030
01.06.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",80,96.000,96.000
26.04.2022,"1.200,00","1.200,00","1.200,00","1.200,00","6,10",76,91.200,91.200
29.12.2021,"1.131,00","1.131,00","1.131,00","1.131,00","13,10",237,268.047,268.047
28.12.2021,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",500,500.000,500.000
12.11.2021,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",14,14.000,14.000
10.11.2021,"1.000,00","1.000,00","1.000,00","1.000,00","-20,70",47,47.000,47.000
10.07.2020,"1.261,00","1.261,00","1.261,00","1.261,00","-9,93",15,18.915,18.915
21.04.2020,"1.400,00","1.400,00","1.400,00","1.400,00","-15,20",202,282.800,282.800
14.01.2020,"1.651,00","1.651,00","1.651,00","1.651,00","3,19",216,356.616,356.616
30.12.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",200,320.000,320.000
07.11.2019,"1.600,00","1.600,00","1.600,00","1.600,00","3,16",25,40.000,40.000
05.09.2019,"1.551,00","1.551,00","1.551,00","1.551,00","-2,94",10,15.510,15.510
21.05.2019,"1.598,00","1.598,00","1.598,00","1.598,00","1,01",30,47.940,47.940
16.05.2019,"1.582,00","1.582,00","1.582,00","1.582,00","5,47",30,47.460,47.460
01.04.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",11,16.500,16.500
25.01.2019,"1.500,00","1.500,00","1.500,00","1.500,00","-2,79",150,225.000,225.000
18.01.2019,"1.543,00","1.543,00","1.543,00","1.543,00","-2,96",30,46.290,46.290
08.01.2019,"1.590,00","1.590,00","1.590,00","1.590,00","2,58",85,135.150,135.150
25.12.2018,"1.550,00","1.550,00","1.550,00","1.550,00","-2,52",15,23.250,23.250
12.12.2018,"1.590,00","1.590,00","1.590,00","1.590,00","2,58",142,225.780,225.780
