Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07.12.2020,"480,00","480,00","480,00","480,00","20,30",100,48.000,48.000
18.06.2020,"399,00","399,00","399,00","399,00","-0,25",140,55.860,55.860
13.05.2020,"400,00","400,00","400,00","400,00","0,00",162,64.800,64.800
02.09.2019,"400,00","400,00","400,00","400,00","0,00",1,400,400
02.07.2018,"400,00","400,00","400,00","400,00","-19,19",390,156.000,156.000
16.05.2017,"495,00","495,00","495,00","495,00","0,00",30,14.850,14.850
21.04.2016,"495,00","495,00","495,00","495,00","0,00",146,72.270,72.270
18.04.2016,"495,00","495,00","495,00","495,00","0,00",524,259.380,259.380
19.11.2015,"495,00","495,00","495,00","495,00","0,00",144,71.280,71.280
17.11.2015,"495,00","495,00","495,00","495,00","0,00",148,73.260,73.260
05.10.2015,"495,00","495,00","495,00","495,00","0,00",71,35.145,35.145
29.09.2015,"495,00","495,00","495,00","495,00","0,00",224,110.880,110.880
24.09.2015,"495,00","495,00","495,00","495,00","0,00",178,88.110,88.110
11.09.2015,"495,00","495,00","495,00","495,00","0,00",140,69.300,69.300
14.08.2015,"495,00","495,00","495,00","495,00","0,00",142,70.290,70.290
30.07.2015,"495,00","495,00","495,00","495,00","0,00",12,5.940,5.940
07.07.2015,"495,00","495,00","495,00","495,00","0,00",170,84.150,84.150
02.06.2015,"495,00","495,00","495,00","495,00","0,00",98,48.510,48.510
22.05.2015,"495,00","495,00","495,00","495,00","0,00",100,49.500,49.500
13.05.2015,"495,00","495,00","495,00","495,00","0,00",172,85.140,85.140
05.05.2015,"495,00","495,00","495,00","495,00","0,00",80,39.600,39.600
28.04.2015,"495,00","495,00","495,00","495,00","0,00",26,12.870,12.870
21.04.2015,"495,00","495,00","495,00","495,00","0,00",80,39.600,39.600
31.03.2015,"495,00","495,00","495,00","495,00","0,00",160,79.200,79.200
26.03.2015,"495,00","495,00","495,00","495,00","0,00",40,19.800,19.800
16.03.2015,"495,00","495,00","495,00","495,00","0,00",118,58.410,58.410
09.03.2015,"495,00","495,00","495,00","495,00","0,00",176,87.120,87.120
05.03.2015,"495,00","495,00","495,00","495,00","0,00",120,59.400,59.400
03.03.2015,"495,00","495,00","495,00","495,00","0,00",90,44.550,44.550
18.02.2015,"495,00","495,00","495,00","495,00","0,00",342,169.290,169.290
16.02.2015,"495,00","495,00","495,00","495,00","0,00",184,91.080,91.080
01.12.2014,"495,00","495,00","495,00","495,00","0,00",126,62.370,62.370
25.11.2014,"495,00","495,00","495,00","495,00","0,00",90,44.550,44.550
19.11.2014,"495,00","495,00","495,00","495,00","0,00",1.269,628.155,628.155
