Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
24.07.2024,"350,00","350,00","350,00","350,00","5,11",27,9.450,9.450
25.04.2024,"333,00","333,00","333,00","333,00","0,00",720,239.760,239.760
14.12.2022,"333,00","333,00","333,00","333,00","0,00",480,159.840,159.840
22.03.2022,"333,00","333,00","333,00","333,00","0,00",558,185.814,185.814
25.10.2021,"333,00","333,00","333,00","333,00","0,30",1.915,637.695,637.695
19.10.2021,"332,00","332,00","332,00","332,00","-2,92",300,99.600,99.600
09.03.2021,"342,00","342,00","342,00","342,00","-2,29",282,96.444,96.444
22.01.2021,"350,00","350,00","350,00","350,00","-21,35",474,165.900,165.900
29.10.2020,"445,00","445,00","445,00","445,00","0,91",76,33.820,33.820
30.07.2020,"441,00","441,00","441,00","441,00","-18,33",300,132.300,132.300
23.07.2020,"540,00","540,00","540,00","540,00","1,89",144,77.760,77.760
22.07.2020,"530,00","530,00","530,00","530,00","2,91",206,109.180,109.180
21.07.2020,"515,00","515,00","515,00","515,00","60,44",100,51.500,51.500
10.07.2020,"321,00","321,00","321,00","321,00","-62,24",47,15.087,15.087
17.05.2019,"850,00","850,00","850,00","850,00","177,78",5,4.250,4.250
14.03.2019,"306,00","306,00","306,00","306,00","2,68",168,51.408,51.408
22.01.2019,"298,00","298,00","298,00","298,00","0,00",174,51.852,51.852
20.12.2018,"298,00","298,00","298,00","298,00","2,76",120,35.760,35.760
13.09.2018,"290,00","290,00","290,00","290,00","-3,33",252,73.080,73.080
07.06.2018,"300,00","300,00","300,00","300,00","-17,58",3,900,900
06.06.2018,"364,00","364,00","364,00","364,00","21,33",162,58.968,58.968
23.05.2018,"300,00","300,00","300,00","300,00","-36,31",7,2.100,2.100
07.03.2018,"471,00","471,00","471,00","471,00","0,00",300,141.300,141.300
06.03.2018,"471,00","471,00","471,00","471,00","0,00",111,52.281,52.281
05.03.2018,"471,00","471,00","471,00","471,00","0,00",89,41.919,41.919
07.02.2018,"471,00","471,00","471,00","471,00","-2,89",85,40.035,40.035
31.10.2017,"485,00","485,00","485,00","485,00","0,00",600,291.000,291.000
22.09.2017,"485,00","485,00","485,00","485,00","-2,81",72,34.920,34.920
15.09.2017,"499,00","499,00","499,00","499,00","2,89",1.700,848.300,848.300
31.08.2017,"485,00","485,00","485,00","485,00","0,00",60,29.100,29.100
30.08.2017,"485,00","485,00","485,00","485,00","-3,00",15,7.275,7.275
14.07.2017,"500,00","500,00","500,00","500,00","0,00",1.000,500.000,500.000
08.06.2017,"500,00","500,00","500,00","500,00","-26,04",1.200,600.000,600.000
07.03.2017,"676,00","676,00","676,00","676,00","-3,29",1,676,676
16.02.2016,"699,00","699,00","699,00","699,00","369,13",525,366.975,366.975
18.05.2015,"149,00","149,00","149,00","149,00","-0,67",666,99.234,99.234
