Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.10.2024,"150,00","150,00","150,00","150,00","0,00",50,7.500,7.500
25.09.2024,"150,00","150,00","150,00","150,00","-16,67",50,7.500,7.500
06.02.2023,"180,00","180,00","180,00","180,00","-10,00",135,24.300,24.300
16.06.2022,"200,00","200,00","200,00","200,00","-2,91",71,14.200,14.200
09.11.2021,"206,00","206,00","206,00","206,00","0,00",150,30.900,30.900
28.06.2021,"206,00","206,00","206,00","206,00","0,00",30,6.180,6.180
09.04.2021,"206,00","206,00","206,00","206,00","-17,60",35,7.210,7.210
10.03.2021,"250,00","250,00","250,00","250,00","25,00",30,7.500,7.500
09.02.2021,"200,00","200,00","200,00","200,00","48,15",54,10.800,10.800
13.10.2020,"135,00","135,00","135,00","135,00","27,36",91,12.285,12.285
04.09.2020,"106,00","106,00","106,00","106,00","0,00",15,1.590,1.590
03.09.2020,"106,00","106,00","106,00","106,00","0,00",32,3.392,3.392
06.05.2020,"106,00","106,00","106,00","106,00","0,00",33,3.498,3.498
17.02.2020,"106,00","106,00","106,00","106,00","6,00",60,6.360,6.360
17.12.2019,"100,00","100,00","100,00","100,00","-50,00",80,8.000,8.000
29.11.2019,"200,00","200,00","200,00","200,00","-20,00",100,20.000,20.000
27.11.2019,"250,00","250,00","250,00","250,00","-58,33",100,25.000,25.000
07.12.2017,"600,00","600,00","600,00","600,00","3,09",23,13.800,13.800
28.11.2017,"582,00","582,00","582,00","582,00","0,00",187,108.834,108.834
24.11.2017,"582,00","582,00","582,00","582,00","-3,00",13,7.566,7.566
21.11.2017,"600,00","600,00","600,00","600,00","0,00",50,30.000,30.000
16.10.2017,"600,00","600,00","600,00","600,00","0,00",823,493.800,493.800
13.10.2017,"600,00","600,00","600,00","600,00","0,00",377,226.200,226.200
25.09.2017,"600,00","600,00","600,00","600,00","79,10",10,6.000,6.000
05.09.2017,"335,00","335,00","335,00","335,00","34,00",20,6.700,6.700
01.09.2017,"250,00","250,00","250,00","250,00","86,57",17,4.250,4.250
23.05.2017,"134,00","134,00","134,00","134,00","2,29",116,15.544,15.544
21.03.2017,"131,00","131,00","131,00","131,00","3,15",46,6.026,6.026
23.09.2016,"127,00","127,00","127,00","127,00","35,11",70,8.890,8.890
23.06.2016,"94,00","94,00","94,00","94,00","-6,00",50,4.700,4.700
26.04.2016,"100,00","100,00","100,00","100,00","0,00",192,19.200,19.200
22.03.2016,"100,00","100,00","100,00","100,00","-2,91",100,10.000,10.000
02.10.2015,"103,00","103,00","103,00","103,00","0,00",8,824,824
24.09.2015,"103,00","103,00","103,00","103,00","3,00",330,33.990,33.990
23.09.2015,"100,00","100,00","100,00","100,00","0,00",11,1.100,1.100
10.09.2015,"100,00","100,00","100,00","100,00","-33,33",50,5.000,5.000
04.06.2015,"150,00","150,00","150,00","150,00","50,00",166,24.900,24.900
21.05.2015,"100,00","100,00","100,00","100,00","-50,00",15,1.500,1.500
16.04.2015,"200,00","200,00","200,00","200,00","0,00",5,1.000,1.000
04.02.2015,"200,00","200,00","200,00","200,00","-20,00",70,14.000,14.000
