Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.09.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",37,96.903,96.903
22.04.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",100,261.900,261.900
02.02.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",48,125.712,125.712
13.10.2023,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",53,138.807,138.807
26.04.2023,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",2,5.238,5.238
22.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",21,54.999,54.999
09.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",72,188.568,188.568
07.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",89,233.091,233.091
05.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",49,128.331,128.331
30.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",20,52.380,52.380
29.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",42,109.998,109.998
25.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","-3,00",142,371.898,371.898
11.11.2022,"2.700,00","2.700,00","2.700,00","2.700,00","7,02",200,540.000,540.000
20.10.2022,"2.523,00","2.523,00","2.523,00","2.523,00","-2,96",49,123.627,123.627
04.10.2022,"2.600,00","2.600,00","2.600,00","2.600,00","8,33",50,130.000,130.000
28.09.2022,"2.400,00","2.400,00","2.400,00","2.400,00","-2,91",50,120.000,120.000
16.06.2022,"2.472,00","2.472,00","2.472,00","2.472,00","3,00",50,123.600,123.600
06.12.2021,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",2,4.800,4.800
04.06.2021,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",49,117.600,117.600
20.10.2020,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.200,115.200
28.05.2020,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",1,2.400,2.400
28.11.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",50,120.000,120.000
01.07.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",150,360.000,360.000
26.06.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",5,12.000,12.000
18.09.2018,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.200,115.200
12.04.2018,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",35,84.000,84.000
19.02.2018,"2.400,00","2.400,00","2.400,00","2.400,00","14,29",30,72.000,72.000
12.02.2018,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",48,100.800,100.800
03.07.2017,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",109,228.900,228.900
28.04.2017,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",30,63.000,63.000
29.09.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",13,27.300,27.300
06.09.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.200,88.200
19.08.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",2,4.200,4.200
22.04.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.200,88.200
01.04.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.200,88.200
19.02.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",43,90.300,90.300
11.02.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",49,102.900,102.900
27.01.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",55,115.500,115.500
16.12.2015,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",50,105.000,105.000
24.04.2015,"2.100,00","2.100,00","2.100,00","2.100,00","2,94",104,218.400,218.400
02.01.2015,"2.040,00","2.040,00","2.040,00","2.040,00","-2,86",208,424.320,424.320
