Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.600,169.600
23.09.2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",17,56.100,56.100
20.09.2024,"3.300,00","3.300,00","3.300,00","3.300,00","3,12",30,99.000,99.000
07.06.2024,"3.200,00","3.200,00","3.200,00","3.200,00","3,59",25,80.000,80.000
03.06.2024,"3.089,00","3.089,00","3.089,00","3.089,00","19,96",8,24.712,24.712
13.11.2023,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",90,231.750,231.750
29.10.2021,"2.500,00","2.500,00","2.500,00","2.500,00","-0,83",115,287.500,287.500
24.09.2021,"2.521,00","2.521,00","2.521,00","2.521,00","0,00",69,173.949,173.949
20.09.2021,"2.521,00","2.521,00","2.521,00","2.521,00","3,96",20,50.420,50.420
03.09.2021,"2.425,00","2.425,00","2.425,00","2.425,00","-3,00",48,116.400,116.400
26.08.2021,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",13,32.500,32.500
06.07.2021,"2.200,00","2.200,00","2.200,00","2.200,00","-12,00",140,308.000,308.000
12.02.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",50,125.000,125.000
29.04.2020,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",6,15.000,15.000
25.03.2020,"2.200,00","2.200,00","2.200,00","2.200,00","-9,98",15,33.000,33.000
05.03.2020,"2.444,00","2.444,00","2.444,00","2.444,00","-2,98",50,122.200,122.200
04.03.2020,"2.519,00","2.519,00","2.519,00","2.519,00","-2,97",40,100.760,100.760
26.02.2020,"2.596,00","2.596,00","2.596,00","2.596,00","-2,99",40,103.840,103.840
13.02.2020,"2.676,00","2.676,00","2.676,00","2.676,00","2,96",313,837.588,837.588
24.04.2019,"2.599,00","2.599,00","2.599,00","2.599,00","2,97",30,77.970,77.970
17.04.2019,"2.524,00","2.524,00","2.524,00","2.524,00","2,98",92,232.208,232.208
16.04.2019,"2.451,00","2.451,00","2.451,00","2.451,00","3,59",150,367.650,367.650
12.04.2019,"2.366,00","2.366,00","2.366,00","2.366,00","12,35",260,615.160,615.160
20.03.2019,"2.106,00","2.106,00","2.106,00","2.106,00","3,39",328,690.768,690.768
19.03.2019,"2.037,00","2.037,00","2.037,00","2.037,00","-3,00",30,61.110,61.110
18.03.2019,"2.100,00","2.100,00","2.100,00","2.100,00","2,04",184,386.400,386.400
28.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","0,00",15,30.870,30.870
22.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","2,95",92,189.336,189.336
19.11.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-1,09",74,147.926,147.926
15.11.2018,"2.021,00","2.021,00","2.021,00","2.021,00","-8,14",150,303.150,303.150
24.09.2018,"2.200,00","2.200,00","2.200,00","2.200,00","10,00",3,6.600,6.600
20.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",21,42.000,42.000
19.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",95,190.000,190.000
12.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",10,20.000,20.000
10.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",7,14.000,14.000
07.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",87,174.000,174.000
06.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,05",104,208.000,208.000
22.08.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-0,05",37,73.963,73.963
21.08.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",9,18.000,18.000
20.08.2018,"2.000,00","2.000,00","2.000,00","2.000,00","-0,30",15,30.000,30.000
17.08.2018,"2.006,00","2.006,00","2.006,00","2.006,00","126,41",30,60.180,60.180
30.05.2018,"886,00","886,00","886,00","886,00","0,00",10,8.860,8.860
16.05.2018,"886,00","886,00","886,00","886,00","10,75",153,135.558,135.558
25.04.2018,"800,00","800,00","800,00","800,00","0,00",200,160.000,160.000
20.02.2018,"800,00","800,00","800,00","800,00","-20,00",210,168.000,168.000
16.08.2017,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",75,75.000,75.000
15.08.2017,"1.000,00","1.000,00","1.000,00","1.000,00","66,67",24,24.000,24.000
21.07.2015,"600,00","600,00","600,00","600,00","0,00",40,24.000,24.000
21.04.2015,"600,00","600,00","600,00","600,00","0,00",120,72.000,72.000
24.11.2014,"600,00","600,00","600,00","600,00","6,19",75,45.000,45.000
