Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.10.2024,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
04.09.2024,"607,00","607,00","607,00","607,00","0,00",32,19.424,19.424
26.06.2024,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
28.05.2024,"607,00","607,00","607,00","607,00","0,00",19,11.533,11.533
29.04.2024,"607,00","607,00","607,00","607,00","0,00",37,22.459,22.459
02.02.2024,"607,00","607,00","607,00","607,00","0,00",24,14.568,14.568
23.11.2023,"607,00","607,00","607,00","607,00","0,00",31,18.817,18.817
13.11.2023,"607,00","607,00","607,00","607,00","0,00",31,18.817,18.817
01.06.2023,"607,00","607,00","607,00","607,00","0,00",64,38.848,38.848
29.05.2023,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
02.05.2023,"607,00","607,00","607,00","607,00","0,00",37,22.459,22.459
20.03.2023,"607,00","607,00","607,00","607,00","0,00",16,9.712,9.712
30.09.2022,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
30.08.2022,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
08.03.2022,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
14.02.2022,"607,00","607,00","607,00","607,00","0,00",13,7.891,7.891
17.01.2022,"607,00","607,00","607,00","607,00","0,00",24,14.568,14.568
28.12.2021,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
02.12.2021,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
22.11.2021,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
17.11.2021,"607,00","607,00","607,00","607,00","0,00",34,20.638,20.638
12.11.2021,"607,00","607,00","607,00","607,00","0,00",30,18.210,18.210
10.11.2021,"607,00","607,00","607,00","607,00","0,00",42,25.494,25.494
27.09.2021,"607,00","607,00","607,00","607,00","0,00",114,69.198,69.198
15.09.2021,"607,00","607,00","607,00","607,00","0,00",26,15.782,15.782
06.09.2021,"607,00","607,00","607,00","607,00","0,00",47,28.529,28.529
31.08.2021,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
18.08.2021,"607,00","607,00","607,00","607,00","0,00",68,41.276,41.276
11.08.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
09.08.2021,"607,00","607,00","607,00","607,00","0,00",14,8.498,8.498
03.08.2021,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
27.07.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
23.07.2021,"607,00","607,00","607,00","607,00","0,00",37,22.459,22.459
22.07.2021,"607,00","607,00","607,00","607,00","0,00",59,35.813,35.813
21.07.2021,"607,00","607,00","607,00","607,00","0,00",43,26.101,26.101
13.07.2021,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
12.07.2021,"607,00","607,00","607,00","607,00","0,00",52,31.564,31.564
09.07.2021,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
06.07.2021,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
05.07.2021,"607,00","607,00","607,00","607,00","0,00",56,33.992,33.992
01.07.2021,"607,00","607,00","607,00","607,00","0,00",20,12.140,12.140
29.06.2021,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
14.06.2021,"607,00","607,00","607,00","607,00","0,00",24,14.568,14.568
11.06.2021,"607,00","607,00","607,00","607,00","0,00",20,12.140,12.140
09.06.2021,"607,00","607,00","607,00","607,00","0,00",60,36.420,36.420
03.06.2021,"607,00","607,00","607,00","607,00","0,00",73,44.311,44.311
01.06.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
27.05.2021,"607,00","607,00","607,00","607,00","0,00",22,13.354,13.354
21.05.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
19.05.2021,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
17.05.2021,"607,00","607,00","607,00","607,00","0,00",26,15.782,15.782
11.05.2021,"607,00","607,00","607,00","607,00","0,00",55,33.385,33.385
10.05.2021,"607,00","607,00","607,00","607,00","0,00",17,10.319,10.319
06.05.2021,"607,00","607,00","607,00","607,00","0,00",100,60.700,60.700
28.04.2021,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
22.04.2021,"607,00","607,00","607,00","607,00","0,00",52,31.564,31.564
20.04.2021,"607,00","607,00","607,00","607,00","0,00",110,66.770,66.770
16.04.2021,"607,00","607,00","607,00","607,00","0,00",41,24.887,24.887
15.04.2021,"607,00","607,00","607,00","607,00","0,00",96,58.272,58.272
09.04.2021,"607,00","607,00","607,00","607,00","0,00",27,16.389,16.389
08.04.2021,"607,00","607,00","607,00","607,00","0,00",21,12.747,12.747
06.04.2021,"607,00","607,00","607,00","607,00","0,00",76,46.132,46.132
01.04.2021,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
30.03.2021,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
08.01.2021,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
22.10.2019,"607,00","607,00","607,00","607,00","0,00",19,11.533,11.533
16.09.2019,"607,00","607,00","607,00","607,00","0,00",67,40.669,40.669
10.05.2019,"607,00","607,00","607,00","607,00","0,00",39,23.673,23.673
10.12.2018,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
16.10.2018,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
10.09.2018,"607,00","607,00","607,00","607,00","2,88",1.036,628.852,628.852
06.09.2018,"590,00","590,00","590,00","590,00","0,00",20,11.800,11.800
05.09.2018,"590,00","590,00","590,00","590,00","0,00",68,40.120,40.120
04.09.2018,"590,00","590,00","590,00","590,00","0,00",208,122.720,122.720
03.09.2018,"590,00","590,00","590,00","590,00","0,00",200,118.000,118.000
31.08.2018,"590,00","590,00","590,00","590,00","0,00",108,63.720,63.720
29.08.2018,"590,00","590,00","590,00","590,00","0,00",61,35.990,35.990
27.08.2018,"590,00","590,00","590,00","590,00","0,00",74,43.660,43.660
24.08.2018,"590,00","590,00","590,00","590,00","0,00",85,50.150,50.150
23.08.2018,"590,00","590,00","590,00","590,00","0,00",38,22.420,22.420
22.08.2018,"590,00","590,00","590,00","590,00","0,00",69,40.710,40.710
21.08.2018,"590,00","590,00","590,00","590,00","-2,96",40,23.600,23.600
13.07.2018,"608,00","608,00","608,00","608,00","0,00",43,26.144,26.144
09.07.2018,"608,00","608,00","608,00","608,00","1,33",144,87.552,87.552
31.05.2018,"600,00","600,00","600,00","600,00","0,00",144,86.400,86.400
12.06.2017,"600,00","600,00","600,00","600,00","0,00",85,51.000,51.000
06.06.2017,"600,00","600,00","600,00","600,00","198,51",46,27.600,27.600
12.05.2016,"201,00","201,00","201,00","201,00","0,00",24,4.824,4.824
