Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.10.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.000,80.000
07.10.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.000,80.000
24.09.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.000,80.000
03.09.2024,"16,00","16,00","16,00","16,00","0,00",2.000,32.000,32.000
29.07.2024,"16,00","16,00","16,00","16,00","0,00",1.500,24.000,24.000
20.06.2024,"16,00","16,00","16,00","16,00","0,00",1.000,16.000,16.000
03.06.2024,"16,00","16,00","16,00","16,00","0,00",300,4.800,4.800
13.05.2024,"16,00","16,00","16,00","16,00","0,00",1.600,25.600,25.600
04.04.2024,"16,00","16,00","16,00","16,00","0,00",5.481,87.696,87.696
30.01.2024,"16,00","16,00","16,00","16,00","0,00",1.000,16.000,16.000
19.07.2023,"16,00","16,00","16,00","16,00","0,00",4.105,65.680,65.680
21.12.2022,"16,00","16,00","16,00","16,00","0,00",42.472,679.552,679.552
23.11.2021,"16,00","16,00","16,00","16,00","0,00",11.000,176.000,176.000
05.11.2021,"16,00","16,00","16,00","16,00","0,00",2.200,35.200,35.200
24.06.2021,"16,00","16,00","16,00","16,00","0,00",1.300,20.800,20.800
10.07.2020,"16,00","16,00","16,00","16,00","-23,81",500,8.000,8.000
15.11.2019,"21,00","21,00","21,00","21,00","-12,50",1.250,26.250,26.250
21.05.2019,"24,00","24,00","24,00","24,00","-4,00",500,12.000,12.000
18.02.2019,"25,00","25,00","25,00","25,00","25,00",300,7.500,7.500
21.12.2018,"20,00","20,00","20,00","20,00","0,00",100,2.000,2.000
09.11.2018,"20,00","20,00","20,00","20,00","0,00",1.162,23.240,23.240
08.11.2018,"20,00","20,00","20,00","20,00","0,00",1.000,20.000,20.000
16.08.2018,"20,00","20,00","20,00","20,00","0,00",1.000,20.000,20.000
01.08.2018,"20,00","20,00","20,00","20,00","5,26",1.300,26.000,26.000
16.07.2018,"19,00","19,00","19,00","19,00","26,67",5.900,112.100,112.100
13.07.2018,"15,00","15,00","15,00","15,00","7,14",300,4.500,4.500
12.07.2018,"14,00","14,00","14,00","14,00","0,00",1.000,14.000,14.000
04.07.2018,"14,00","14,00","14,00","14,00","-6,67",60,840,840
02.07.2018,"15,00","15,00","15,00","15,00","0,00",500,7.500,7.500
22.06.2018,"15,00","15,00","15,00","15,00","7,14",4.000,60.000,60.000
19.06.2018,"14,00","14,00","14,00","14,00","0,00",341,4.774,4.774
13.06.2018,"14,00","14,00","14,00","14,00","0,00",1.000,14.000,14.000
