Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.09.2024,"50,00","50,00","50,00","50,00","0,00",618,30.900,30.900
14.12.2023,"50,00","50,00","50,00","50,00","0,00",1.392,69.600,69.600
17.10.2023,"50,00","50,00","50,00","50,00","0,00",1.050,52.500,52.500
13.09.2023,"50,00","50,00","50,00","50,00","0,00",32,1.600,1.600
07.08.2023,"50,00","50,00","50,00","50,00","0,00",842,42.100,42.100
12.06.2023,"50,00","50,00","50,00","50,00","0,00",1.263,63.150,63.150
05.06.2023,"50,00","50,00","50,00","50,00","0,00",1.233,61.650,61.650
05.01.2023,"50,00","50,00","50,00","50,00","0,00",382,19.100,19.100
23.12.2022,"50,00","50,00","50,00","50,00","0,00",4.000,200.000,200.000
06.12.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700,61.700
05.12.2022,"50,00","50,00","50,00","50,00","0,00",616,30.800,30.800
17.11.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700,61.700
15.11.2022,"50,00","50,00","50,00","50,00","0,00",3.069,153.450,153.450
01.11.2022,"50,00","50,00","50,00","50,00","0,00",612,30.600,30.600
14.10.2022,"50,00","50,00","50,00","50,00","0,00",20,1.000,1.000
10.10.2022,"50,00","50,00","50,00","50,00","0,00",53,2.650,2.650
12.09.2022,"50,00","50,00","50,00","50,00","0,00",3.495,174.750,174.750
17.08.2022,"50,00","50,00","50,00","50,00","0,00",3.675,183.750,183.750
09.08.2022,"50,00","50,00","50,00","50,00","0,00",3.702,185.100,185.100
04.08.2022,"50,00","50,00","50,00","50,00","0,00",12.681,634.050,634.050
03.08.2022,"50,00","50,00","50,00","50,00","0,00",375,18.750,18.750
26.07.2022,"50,00","50,00","50,00","50,00","0,00",3.676,183.800,183.800
25.07.2022,"50,00","50,00","50,00","50,00","0,00",1.245,62.250,62.250
22.07.2022,"50,00","50,00","50,00","50,00","0,00",3.214,160.700,160.700
15.07.2022,"50,00","50,00","50,00","50,00","0,00",2.467,123.350,123.350
13.07.2022,"50,00","50,00","50,00","50,00","0,00",4.210,210.500,210.500
12.07.2022,"50,00","50,00","50,00","50,00","0,00",5.054,252.700,252.700
08.07.2022,"50,00","50,00","50,00","50,00","0,00",2.474,123.700,123.700
07.07.2022,"50,00","50,00","50,00","50,00","0,00",4.938,246.900,246.900
06.07.2022,"50,00","50,00","50,00","50,00","0,00",7.175,358.750,358.750
05.07.2022,"50,00","50,00","50,00","50,00","0,00",4.603,230.150,230.150
04.07.2022,"50,00","50,00","50,00","50,00","0,00",3.732,186.600,186.600
29.06.2022,"50,00","50,00","50,00","50,00","0,00",7.719,385.950,385.950
15.06.2022,"50,00","50,00","50,00","50,00","0,00",6.430,321.500,321.500
22.10.2021,"50,00","50,00","50,00","50,00","0,00",1.038,51.900,51.900
24.02.2021,"50,00","50,00","50,00","50,00","0,00",1.920,96.000,96.000
