Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
23.08.2019,"20,00","20,00","20,00","20,00","0,00",31,620,620
01.08.2019,"20,00","20,00","20,00","20,00","0,00",56,1.120,1.120
07.05.2019,"20,00","20,00","20,00","20,00","-20,00",13,260,260
22.02.2019,"25,00","25,00","25,00","25,00","25,00",400,10.000,10.000
21.02.2019,"20,00","20,00","20,00","20,00","0,00",34,680,680
15.02.2019,"20,00","20,00","20,00","20,00","0,00",29,580,580
13.02.2019,"20,00","20,00","20,00","20,00","0,00",50,1.000,1.000
01.02.2019,"20,00","20,00","20,00","20,00","-20,00",300,6.000,6.000
17.12.2018,"25,00","25,00","25,00","25,00","0,00",600,15.000,15.000
08.11.2018,"25,00","25,00","25,00","25,00","0,00",500,12.500,12.500
06.11.2018,"25,00","25,00","25,00","25,00","0,00",9,225,225
17.09.2018,"25,00","25,00","25,00","25,00","0,00",58,1.450,1.450
22.08.2018,"25,00","25,00","25,00","25,00","-10,71",100,2.500,2.500
16.08.2018,"28,00","28,00","28,00","28,00","0,00",300,8.400,8.400
10.07.2018,"28,00","28,00","28,00","28,00","0,00",1.000,28.000,28.000
27.06.2018,"28,00","28,00","28,00","28,00","40,00",805,22.540,22.540
14.06.2018,"20,00","20,00","20,00","20,00","-33,33",34,680,680
21.03.2018,"30,00","30,00","30,00","30,00","50,00",215,6.450,6.450
19.02.2018,"20,00","20,00","20,00","20,00","0,00",25,500,500
12.02.2018,"20,00","20,00","20,00","20,00","0,00",21,420,420
01.02.2018,"20,00","20,00","20,00","20,00","-20,00",25,500,500
10.01.2018,"25,00","25,00","25,00","25,00","0,00",1.000,25.000,25.000
04.10.2017,"25,00","25,00","25,00","25,00","0,00",33,825,825
08.08.2017,"25,00","25,00","25,00","25,00","-19,35",2.000,50.000,50.000
27.07.2017,"31,00","31,00","31,00","31,00","0,00",1.513,46.903,46.903
26.07.2017,"31,00","31,00","31,00","31,00","0,00",1.738,53.878,53.878
25.07.2017,"31,00","31,00","31,00","31,00","24,00",1.000,31.000,31.000
21.07.2017,"25,00","25,00","25,00","25,00","0,00",1.763,44.075,44.075
28.06.2017,"25,00","25,00","25,00","25,00","0,00",23,575,575
16.05.2017,"25,00","25,00","25,00","25,00","0,00",19,475,475
06.03.2017,"25,00","25,00","25,00","25,00","0,00",20,500,500
24.02.2017,"25,00","25,00","25,00","25,00","0,00",200,5.000,5.000
02.02.2017,"25,00","25,00","25,00","25,00","0,00",1.000,25.000,25.000
29.11.2016,"25,00","25,00","25,00","25,00","0,00",100,2.500,2.500
17.11.2016,"25,00","25,00","25,00","25,00","0,00",16,400,400
21.09.2016,"25,00","25,00","25,00","25,00","0,00",55,1.375,1.375
12.04.2016,"25,00","25,00","25,00","25,00","0,00",640,16.000,16.000
11.04.2016,"25,00","25,00","25,00","25,00","0,00",358,8.950,8.950
22.03.2016,"25,00","25,00","25,00","25,00","0,00",25,625,625
10.03.2016,"25,00","25,00","25,00","25,00","0,00",90,2.250,2.250
03.03.2016,"25,00","25,00","25,00","25,00","0,00",27,675,675
11.01.2016,"25,00","25,00","25,00","25,00","0,00",40,1.000,1.000
28.12.2015,"25,00","25,00","25,00","25,00","0,00",25,625,625
23.11.2015,"25,00","25,00","25,00","25,00","0,00",13,325,325
09.09.2015,"25,00","25,00","25,00","25,00","0,00",145,3.625,3.625
19.08.2015,"25,00","25,00","25,00","25,00","0,00",65,1.625,1.625
28.07.2015,"25,00","25,00","25,00","25,00","0,00",24,600,600
24.06.2015,"25,00","25,00","25,00","25,00","0,00",19,475,475
28.05.2015,"25,00","25,00","25,00","25,00","0,00",23,575,575
01.04.2015,"25,00","25,00","25,00","25,00","0,00",27,675,675
12.02.2015,"25,00","25,00","25,00","25,00","0,00",31,775,775
