Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
15.06.2023,"70,00","70,00","70,00","70,00","0,00",234,16.380,16.380
09.02.2021,"70,00","70,00","70,00","70,00","0,00",4.082,285.740,285.740
06.11.2020,"70,00","70,00","70,00","70,00","0,00",320,22.400,22.400
29.09.2020,"70,00","70,00","70,00","70,00","0,00",234,16.380,16.380
13.03.2019,"70,00","70,00","70,00","70,00","0,00",313,21.910,21.910
22.01.2019,"70,00","70,00","70,00","70,00","0,00",450,31.500,31.500
21.01.2019,"70,00","70,00","70,00","70,00","0,00",300,21.000,21.000
05.11.2018,"70,00","70,00","70,00","70,00","0,00",250,17.500,17.500
15.10.2018,"70,00","70,00","70,00","70,00","0,00",300,21.000,21.000
11.04.2016,"70,00","70,00","70,00","70,00","0,00",182,12.740,12.740
10.11.2015,"70,00","70,00","70,00","70,00","0,00",270,18.900,18.900
13.02.2015,"70,00","70,00","70,00","70,00","0,00",670,46.900,46.900
09.01.2015,"70,00","70,00","70,00","70,00","0,00",250,17.500,17.500
18.12.2014,"70,00","70,00","70,00","70,00","0,00",620,43.400,43.400
09.12.2014,"70,00","70,00","70,00","70,00","0,00",350,24.500,24.500
02.12.2014,"70,00","70,00","70,00","70,00","0,00",304,21.280,21.280
26.11.2014,"70,00","70,00","70,00","70,00","0,00",263,18.410,18.410
26.11.2014,"70,00","70,00","70,00","70,00","0,00",263,18.410,18.410
20.11.2014,"70,00","70,00","70,00","70,00","0,00",420,29.400,29.400
