Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07.02.2024,"309,00","309,00","309,00","309,00","0,00",439,135.651,135.651
30.01.2024,"309,00","309,00","309,00","309,00","0,00",1.090,336.810,336.810
14.03.2022,"309,00","309,00","309,00","309,00","-7,76",5,1.545,1.545
09.09.2021,"335,00","335,00","335,00","335,00","14,33",10,3.350,3.350
06.12.2019,"293,00","293,00","293,00","293,00","-2,98",100,29.300,29.300
24.06.2019,"302,00","302,00","302,00","302,00","-2,89",442,133.484,133.484
30.05.2019,"311,00","311,00","311,00","311,00","22,92",5,1.555,1.555
29.05.2019,"253,00","253,00","253,00","253,00","27,78",5,1.265,1.265
28.05.2019,"198,00","198,00","198,00","198,00","10,00",4,792,792
16.04.2019,"180,00","180,00","180,00","180,00","0,00",1.574,283.320,283.320
12.04.2019,"180,00","180,00","180,00","180,00","0,00",243,43.740,43.740
04.04.2019,"180,00","180,00","180,00","180,00","0,00",201,36.180,36.180
01.04.2019,"180,00","180,00","180,00","180,00","0,00",311,55.980,55.980
13.03.2019,"180,00","180,00","180,00","180,00","0,00",1.638,294.840,294.840
07.02.2019,"180,00","180,00","180,00","180,00","-1,10",356,64.080,64.080
23.01.2019,"182,00","182,00","182,00","182,00","51,67",100,18.200,18.200
04.01.2019,"120,00","120,00","120,00","120,00","0,00",621,74.520,74.520
03.01.2019,"120,00","120,00","120,00","120,00","-29,41",20,2.400,2.400
20.12.2018,"170,00","170,00","170,00","170,00","0,00",712,121.040,121.040
14.12.2018,"170,00","170,00","170,00","170,00","0,00",3.249,552.330,552.330
13.09.2018,"170,00","170,00","170,00","170,00","0,00",4.182,710.940,710.940
08.03.2018,"170,00","170,00","170,00","170,00","0,00",323,54.910,54.910
04.12.2017,"170,00","170,00","170,00","170,00","0,00",1.024,174.080,174.080
31.10.2017,"170,00","170,00","170,00","170,00","0,00",400,68.000,68.000
26.10.2017,"170,00","170,00","170,00","170,00","0,00",75,12.750,12.750
13.10.2017,"170,00","170,00","170,00","170,00","0,00",400,68.000,68.000
05.07.2017,"170,00","170,00","170,00","170,00","0,00",150,25.500,25.500
29.05.2017,"170,00","170,00","170,00","170,00","-2,30",577,98.090,98.090
09.05.2017,"174,00","174,00","174,00","174,00","-2,79",200,34.800,34.800
04.05.2017,"179,00","179,00","179,00","179,00","-2,72",609,109.011,109.011
26.12.2016,"184,00","184,00","184,00","184,00","-7,54",3.026,556.784,556.784
09.12.2016,"199,00","199,00","199,00","199,00","-2,93",2.031,404.169,404.169
07.12.2016,"205,00","205,00","205,00","205,00","-19,92",1.605,329.025,329.025
06.12.2016,"256,00","256,00","256,00","256,00","-20,00",2,512,512
29.11.2016,"320,00","320,00","320,00","320,00","0,00",995,318.400,318.400
27.10.2016,"320,00","320,00","320,00","320,00","3,90",5,1.600,1.600
21.10.2016,"308,00","308,00","308,00","308,00","14,07",60,18.480,18.480
19.10.2016,"270,00","270,00","270,00","270,00","2,66",20,5.400,5.400
18.10.2016,"263,00","263,00","263,00","263,00","2,73",20,5.260,5.260
12.09.2016,"256,00","256,00","256,00","256,00","0,00",240,61.440,61.440
22.07.2016,"256,00","256,00","256,00","256,00","60,00",26,6.656,6.656
18.07.2016,"160,00","160,00","160,00","160,00","0,00",300,48.000,48.000
09.06.2016,"160,00","160,00","160,00","160,00","-37,50",260,41.600,41.600
07.06.2016,"256,00","256,00","256,00","256,00","-16,88",506,129.536,129.536
10.12.2015,"308,00","308,00","308,00","308,00","0,00",200,61.600,61.600
01.12.2015,"308,00","308,00","308,00","308,00","0,00",381,117.348,117.348
27.11.2015,"308,00","308,00","308,00","308,00","0,00",130,40.040,40.040
12.06.2015,"308,00","308,00","308,00","308,00","2,67",800,246.400,246.400
02.06.2015,"300,00","300,00","300,00","300,00","-2,60",20,6.000,6.000
21.05.2015,"308,00","308,00","308,00","308,00","2,67",669,206.052,206.052
15.04.2015,"300,00","300,00","300,00","300,00","-2,60",52,15.600,15.600
31.03.2015,"308,00","308,00","308,00","308,00","0,00",181,55.748,55.748
30.03.2015,"308,00","308,00","308,00","308,00","0,00",150,46.200,46.200
17.03.2015,"308,00","308,00","308,00","308,00","0,00",4,1.232,1.232
06.03.2015,"308,00","308,00","308,00","308,00","0,00",65,20.020,20.020
04.03.2015,"308,00","308,00","308,00","308,00","0,00",40,12.320,12.320
24.02.2015,"308,00","308,00","308,00","308,00","0,00",360,110.880,110.880
22.01.2015,"308,00","308,00","308,00","308,00","0,00",400,123.200,123.200
17.12.2014,"308,00","308,00","308,00","308,00","0,00",706,217.448,217.448
12.12.2014,"308,00","308,00","308,00","308,00","0,00",719,221.452,221.452
02.12.2014,"308,00","308,00","308,00","308,00","0,00",493,151.844,151.844
24.11.2014,"308,00","308,00","308,00","308,00","0,00",818,251.944,251.944
