Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07.11.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",126,126.000,126.000
18.10.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",36,36.000,36.000
27.03.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",39,39.000,39.000
01.06.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",49,49.000,49.000
19.05.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",15,15.000,15.000
02.05.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.000,18.000
17.02.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.000,18.000
13.12.2022,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",266,266.000,266.000
14.04.2022,"1.000,00","1.000,00","1.000,00","1.000,00","-2,91",32,32.000,32.000
30.03.2022,"1.030,00","1.030,00","1.030,00","1.030,00","3,00",24,24.720,24.720
10.03.2022,"1.000,00","1.000,00","1.000,00","1.000,00","536,94",20,20.000,20.000
16.03.2020,"157,00","157,00","157,00","157,00","0,00",280,43.960,43.960
18.07.2018,"157,00","157,00","157,00","157,00","2,61",422,66.254,66.254
23.01.2018,"153,00","153,00","153,00","153,00","0,00",17,2.601,2.601
18.01.2018,"153,00","153,00","153,00","153,00","-2,55",55,8.415,8.415
02.11.2016,"157,00","157,00","157,00","157,00","-2,48",124,19.468,19.468
14.10.2016,"161,00","161,00","161,00","161,00","61,00",194,31.234,31.234
