Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",105,189.000,189.000
21.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",73,131.400,131.400
01.10.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",47,84.600,84.600
06.08.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",27,48.600,48.600
16.05.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",38,68.400,68.400
07.03.2019,"1.800,00","1.800,00","1.800,00","1.800,00","20,00",75,135.000,135.000
14.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",28,42.000,42.000
01.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",45,67.500,67.500
29.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",41,61.500,61.500
23.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",108,162.000,162.000
15.03.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",56,84.000,84.000
31.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",43,64.500,64.500
26.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",25,37.500,37.500
23.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",48,72.000,72.000
17.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",38,57.000,57.000
28.12.2016,"1.500,00","1.500,00","1.500,00","1.500,00","50,00",86,129.000,129.000
25.07.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",51,51.000,51.000
04.02.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",35,35.000,35.000
15.12.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.000,43.000
04.09.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",88,88.000,88.000
06.07.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.000,43.000
09.03.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",54,54.000,54.000
