Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
30.10.2024,"80,00","80,00","80,00","80,00","0,00",75,6.000,6.000
13.03.2024,"80,00","80,00","80,00","80,00","0,00",102,8.160,8.160
01.11.2023,"80,00","80,00","80,00","80,00","-29,82",2.066,165.280,165.280
13.09.2023,"114,00","114,00","114,00","114,00","0,00",294,33.516,33.516
27.10.2022,"114,00","114,00","114,00","114,00","0,00",280,31.920,31.920
21.10.2022,"114,00","114,00","114,00","114,00","-2,56",200,22.800,22.800
19.10.2022,"117,00","117,00","117,00","117,00","-2,50",500,58.500,58.500
27.09.2022,"120,00","120,00","120,00","120,00","-6,25",500,60.000,60.000
26.09.2022,"128,00","128,00","128,00","128,00","-1,54",500,64.000,64.000
23.09.2022,"130,00","130,00","130,00","130,00","-23,53",500,65.000,65.000
18.05.2021,"170,00","170,00","170,00","170,00","0,59",1.148,195.160,195.160
03.03.2021,"169,00","169,00","169,00","169,00","9,03",185,31.265,31.265
10.02.2021,"155,00","155,00","155,00","155,00","0,00",468,72.540,72.540
03.02.2021,"155,00","155,00","155,00","155,00","0,00",200,31.000,31.000
29.01.2021,"155,00","155,00","155,00","155,00","0,00",200,31.000,31.000
28.01.2021,"155,00","155,00","155,00","155,00","0,00",200,31.000,31.000
13.01.2021,"155,00","155,00","155,00","155,00","0,00",351,54.405,54.405
25.12.2020,"155,00","155,00","155,00","155,00","-4,32",200,31.000,31.000
18.11.2020,"162,00","162,00","162,00","162,00","-2,99",500,81.000,81.000
18.11.2020,"162,00","162,00","162,00","162,00","-2,99",500,81.000,81.000
10.08.2020,"167,00","167,00","167,00","167,00","-14,36",248,41.416,41.416
27.04.2020,"195,00","195,00","195,00","195,00","0,00",217,42.315,42.315
17.01.2020,"195,00","195,00","195,00","195,00","2,63",200,39.000,39.000
13.01.2020,"190,00","190,00","190,00","190,00","9,20",100,19.000,19.000
23.12.2019,"174,00","174,00","174,00","174,00","16,00",122,21.228,21.228
19.12.2019,"150,00","150,00","150,00","150,00","0,00",50,7.500,7.500
13.12.2019,"150,00","150,00","150,00","150,00","8,70",500,75.000,75.000
29.11.2019,"138,00","138,00","138,00","138,00","2,99",500,69.000,69.000
27.11.2019,"134,00","134,00","134,00","134,00","-0,74",1.000,134.000,134.000
26.11.2019,"135,00","135,00","135,00","135,00","-25,00",326,44.010,44.010
26.08.2019,"180,00","180,00","180,00","180,00","-26,53",253,45.540,45.540
23.05.2019,"245,00","245,00","245,00","245,00","-2,51",204,49.980,49.980
19.02.2019,"254,00","254,00","246,00","251,30","2,15",892,224.161,224.161
15.02.2019,"246,00","246,00","246,00","246,00","0,04",300,73.800,73.800
14.02.2019,"246,00","246,00","245,00","245,89","-0,04",906,222.778,222.778
13.02.2019,"246,00","246,00","246,00","246,00","-2,77",100,24.600,24.600
12.02.2019,"253,00","253,00","253,00","253,00","10,00",238,60.214,60.214
